,,Model,Family,Line,Platform,"Product ID Tray","Product ID Boxed","Product ID MPK","Launch Date","# of CPU Cores","# of Threads","Graphics Core Count","Base Clock","Max. Boost Clock ¹ ²","All Core Boost Speed","Total L1 Cache","Total L2 Cache","Total L3 Cache","Unlocked for Overclocking","Processor Technology for CPU Cores","CPU Socket","Socket Count","PCI Express® Version","Thermal Solution PIB","Thermal Solution MPK","Default TDP","AMD Configurable TDP (cTDP)","Max. Operating Temperature (Tjmax)","*OS Support","System Memory Specification","System Memory Type","Memory Channels","Per Socket Mem BW","Graphics Frequency","GPU Base","Graphics Model","Supported Technologies","Workload Affinity"
,on,"AMD Ryzen™ 5 2400GE with Radeon™ RX Vega 11 Graphics","AMD Ryzen™ Processors","AMD Ryzen™ 5 Desktop Processors with Radeon™ Vega Graphics",Desktop,YD2400C6M4MFB,,YD2400C6FBMPK,04/19/2018,4,8,11,3.2GHz,"Up to 3.8GHz",,384KB,2MB,4MB,Yes,"14nm FinFET",AM4,,"PCIe® 3.0 x8","Not included","Wraith Stealth",35W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2933MHz",DDR4,2,,"1250 MHz",,"Radeon™ RX Vega 11 Graphics","AMD VR Ready Processors, AMD Ryzen™ Master Utility, DirectX® 12 Technology",
,on,"AMD Ryzen™ 3 2300X","AMD Ryzen™ Processors","AMD Ryzen™ 3 Desktop Processors",Desktop,YD230XBBM4KAF,,YD230XBBAFMPK,9/10/2018,4,4,,3.5GHz,"Up to 4.0GHz",,384KB,2MB,8MB,Yes,12nm,AM4,,"PCIe 3.0","Not included","Wraith Stealth",65W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2933MHz",DDR4,2,,,,"Discrete Graphics Card Required",,
,on,"AMD Ryzen™ 3 2200G with Radeon™ Vega 8 Graphics","AMD Ryzen™ Processors","AMD Ryzen™ 3 Desktop Processors with Radeon™ Vega Graphics","Boxed Processor",YD2200C5M4MFB,YD2200C5FBBOX,YD2200C5FBMPK,02/12/2018,4,4,8,3.5GHz,"Up to 3.7GHz",,384KB,2MB,4MB,Yes,"14nm FinFET",AM4,,"PCIe® 3.0 x8","Wraith Stealth","Wraith Stealth",65W,46-65W,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2933MHz",DDR4,2,,"1100 MHz",,"Radeon™ Vega 8 Graphics","AMD Radeon™ Software, AMD SenseMI Technology, AMD VR Ready Processors, AMD Ryzen™ Master Utility, Enmotus FuzeDrive™ for AMD Ryzen™, AMD FreeSync™ Technology",
,on,"AMD Ryzen™ 9 PRO 6950H","AMD Ryzen™ PRO Processors","AMD Ryzen™ 9 PRO 6000 Series Mobile Processors",Laptop,"FP7: 100-000000541 FP7r2:100-000000563",,,,8,16,12,3.3GHz,"Up to 4.9GHz",,384KB,4MB,16MB,No,"TSMC 6nm FinFET",,,"PCIe® 4.0",,,45W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR5,4,,"2400 MHz",,"AMD Radeon™ 680M",,
,on,"AMD Ryzen™ 3 2200GE with Radeon™ Vega 8 Graphics","AMD Ryzen™ Processors","AMD Ryzen™ 3 Desktop Processors with Radeon™ Vega Graphics",Desktop,YD2200C6M4MFB,,YD2200C6FBMPK,04/19/2018,4,4,8,3.2GHz,"Up to 3.6GHz",,384KB,2MB,4MB,Yes,"14nm FinFET",AM4,,"PCIe® 3.0 x8","Not included","Wraith Stealth",35W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2933MHz",DDR4,2,,"1100 MHz",,"Radeon™ Vega 8 Graphics","AMD VR Ready Processors, AMD Ryzen™ Master Utility, DirectX® 12 Technology",
,on,"AMD Ryzen™ 9 PRO 6950HS","AMD Ryzen™ PRO Processors","AMD Ryzen™ 9 PRO 6000 Series Mobile Processors",Laptop,"FP7: 100-000000541 FP7r2: 100-000000563",,,,8,16,12,3.3GHz,"Up to 4.9GHz",,512KB,4MB,16MB,No,"TSMC 6nm FinFET",,,"PCIe® 4.0",,,35W,,94.99°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR5,4,,"2400 MHz",,"AMD Radeon™ 680M",,
,on,"AMD Ryzen™ 7 2800H","AMD Ryzen™ Processors","AMD Ryzen™ 7 Mobile Processors with Radeon™ RX Vega Graphics",Laptop,YM2800C3T4MFB,n/a,,9/10/2018,4,8,11,3.3GHz,"Up to 3.8GHz",,192KB,2MB,4MB,No,14nm,FP5,,"PCIe® 3.0",,,45W,35-54W,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",,2,,"1300 MHz",,"Radeon™ RX Vega 11 Graphics","AMD SenseMI Technology, AMD ""Zen"" Core Architecture, AMD FreeSync™ Technology, DirectX® 12 Technology",
,on,"AMD Ryzen™ 5 2600H","AMD Ryzen™ Processors","AMD Ryzen™ 5 Mobile Processors with Radeon™ Vega Graphics",Laptop,YM2600C3T4MFB,n/a,,9/10/2018,4,8,8,3.2GHz,"Up to 3.6GHz",,192KB,2MB,4MB,No,14nm,FP5,,"PCIe® 3.0",,,45W,35-54W,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",,2,,"1100 MHz",,"Radeon™ Vega 8 Graphics","AMD SenseMI Technology, AMD ""Zen"" Core Architecture, AMD FreeSync™ Technology, DirectX® 12 Technology",
,on,"AMD Ryzen™ 7 PRO 6850H","AMD Ryzen™ PRO Processors","AMD Ryzen™ 7 PRO 6000 Series Mobile Processors",Laptop,"FP7: 100-000000542 FP7r2: 100-000000564",,,,8,16,12,3.2GHz,"Up to 4.7GHz",,512KB,4MB,16MB,No,"TSMC 6nm FinFET",,,"PCIe® 4.0",,,45W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR5,4,,"2200 MHz",,"AMD Radeon™ 680M",,
,on,"AMD Ryzen™ 7 2700U","AMD Ryzen™ Processors","AMD Ryzen™ 7 Mobile Processors with Radeon™ RX Vega Graphics",Laptop,YM2700C4T4MFB,n/a,,10/26/2017,4,8,10,2.2GHz,"Up to 3.8GHz",,384KB,2MB,4MB,No,14nm,FP5,,"PCIe® 3.0",,,15W,12-25W,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2400MHz",DDR4,2,,"1300 MHz",,"Radeon™ RX Vega 10 Graphics","AMD SenseMI Technology, AMD ""Zen"" Core Architecture, AMD FreeSync™ Technology, DirectX® 12 Technology, VCN",
,on,"AMD Ryzen™ 7 PRO 6850HS","AMD Ryzen™ PRO Processors","AMD Ryzen™ 7 PRO 6000 Series Mobile Processors",Laptop,"FP7: 100-000000542 FP7r2:100-000000564",,,,8,16,12,3.2GHz,"Up to 4.7GHz",,512KB,4MB,16MB,No,"TSMC 6nm FinFET",,,"PCIe® 4.0",,,35W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR5,4,,"2200 MHz",,"AMD Radeon™ 680M",,
,on,"AMD Ryzen™ 5 2500U","AMD Ryzen™ Processors","AMD Ryzen™ 5 Mobile Processors with Radeon™ Vega Graphics",Laptop,YM2500C4T4MFB,n/a,,10/26/2017,4,8,8,2.0GHz,"Up to 3.6GHz",,384KB,2MB,4MB,No,14nm,FP5,,"PCIe® 3.0",,,15W,12-25W,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2400MHz",DDR4,2,,"1100 MHz",,"Radeon™ Vega 8 Graphics","AMD SenseMI Technology, AMD ""Zen"" Core Architecture, AMD FreeSync™ Technology, DirectX® 12 Technology, VCN",
,on,"AMD Ryzen™ 7 PRO 6850U","AMD Ryzen™ PRO Processors","AMD Ryzen™ 7 PRO 6000 Series Mobile Processors",Laptop,"FP7:100-000000538 FP7r2:100-000000550",,,,8,16,12,2.7GHz,"Up to 4.7GHz",,512KB,4MB,16MB,No,"TSMC 6nm FinFET",,,"PCIe® 4.0",,,,15W-28W,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR5,4,,"2200 MHz",,"AMD Radeon™ 680M",,
,on,"AMD Ryzen™ 3 2300U","AMD Ryzen™ Processors","AMD Ryzen™ 3 Mobile Processors with Radeon™ Vega Graphics",Laptop,YM2300C4T4MFB,n/a,,1/8/2018,4,4,6,2.0GHz,"Up to 3.4GHz",,384KB,2MB,4MB,No,14nm,FP5,,"PCIe® 3.0",,,15W,12-25W,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2400MHz",DDR4,2,,"1100 MHz",,"Radeon™ Vega 6 Graphics","AMD SenseMI Technology, AMD ""Zen"" Core Architecture, AMD FreeSync™ Technology, DirectX® 12 Technology",
,on,"AMD Ryzen™ 3 2200U","AMD Ryzen™ Processors","AMD Ryzen™ 3 Mobile Processors with Radeon™ Vega Graphics",Laptop,YM2200C4T2OFB,n/a,,1/8/2018,2,4,3,2.5GHz,"Up to 3.4GHz",,384KB,1MB,4MB,No,14nm,FP5,,"PCIe® 3.0",,,15W,12-25W,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2400MHz",DDR4,2,,"1100 MHz",,"Radeon™ Vega 3 Graphics","AMD SenseMI Technology, AMD ""Zen"" Core Architecture, DirectX® 12 Technology",
,on,"AMD Ryzen™ 5 PRO 6650H","AMD Ryzen™ PRO Processors","AMD Ryzen™ 5 PRO 6000 Series Mobile Processors",Laptop,"FP7: 100-000000543 (FP7) FFP7r2: 100-000000565 (FP7r2)",,,,6,12,6,3.3GHz,"Up to 4.5GHz",,384KB,3MB,16MB,No,"TSMC 6nm FinFET",,,"PCIe® 4.0",,,45W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR5,4,,"1900 MHz",,"AMD Radeon™ 660M",,
,on,"AMD Ryzen™ Threadripper™ 1950X","AMD Ryzen™ Processors","AMD Ryzen™ Threadripper™ Processors","Boxed Processor",YD195XA8UGAAE,YD195XA8AEWOF,,7/31/2017,16,32,,3.4GHz,"Up to 4.0GHz",,1536KB,8MB,32MB,Yes,14nm,sTR4,,"PCIe 3.0","Not included",,180W,,68°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2667MHz",DDR4,4,,,,"Discrete Graphics Card Required","AMD SenseMI Technology, AMD ""Zen"" Core Architecture, AMD Ryzen™ Master Utility, AMD Ryzen™ VR-Ready Premium, Virtualization, Enmotus FuzeDrive™ for AMD Ryzen™, AES, AVX2, FMA3",
,on,"AMD Ryzen™ Threadripper™ 1920X","AMD Ryzen™ Processors","AMD Ryzen™ Threadripper™ Processors","Boxed Processor",YD192XA8UC9AE,YD192XA8AEWOF,,7/31/2017,12,24,,3.5GHz,"Up to 4.0GHz",,1152KB,6MB,32MB,Yes,14nm,sTR4,,"PCIe 3.0","Not included",,180W,,68°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2667MHz",DDR4,4,,,,"Discrete Graphics Card Required","AMD SenseMI Technology, AMD ""Zen"" Core Architecture, AMD Ryzen™ Master Utility, AMD Ryzen™ VR-Ready Premium, Virtualization, Enmotus FuzeDrive™ for AMD Ryzen™, AES, AVX2, FMA3",
,on,"AMD Ryzen™ Threadripper™ 1900X","AMD Ryzen™ Processors","AMD Ryzen™ Threadripper™ Processors","Boxed Processor",YD190XA8U8QAE,YD190XA8AEWOF,,8/31/2017,8,16,,3.8GHz,"Up to 4.0GHz",,768KB,4MB,16MB,Yes,14nm,sTR4,,"PCIe 3.0","Not included",,180W,,68°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2667MHz",DDR4,4,,,,"Discrete Graphics Card Required","AMD SenseMI Technology, AMD Ryzen™ VR-Ready Premium, Virtualization, Enmotus FuzeDrive™ for AMD Ryzen™, AES, AVX2, XFR (Extended Frequency Range)",
,on,"AMD Ryzen™ 5 PRO 6650HS","AMD Ryzen™ PRO Processors","AMD Ryzen™ 5 PRO 6000 Series Mobile Processors",Laptop,"FP7: 100-000000543 FP7r2:100-000000565",,,,6,12,6,3.3GHz,"Up to 4.5GHz",,384KB,3MB,16MB,No,"TSMC 6nm FinFET",,,"PCIe® 4.0",,,35W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR5,4,,"1900 MHz",,"AMD Radeon™ 660M",,
,on,"AMD Ryzen™ 7 1800X","AMD Ryzen™ Processors","AMD Ryzen™ 7 Desktop Processors","Boxed Processor",YD180XBCM88AE,YD180XBCAEWOF,YD180XBCAEMPK,3/2/2017,8,16,,3.6GHz,"Up to 4.0GHz",,768KB,4MB,16MB,Yes,14nm,AM4,,"PCIe 3.0 x16","Not included","Wraith Max",95W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2667MHz",DDR4,2,,,,"Discrete Graphics Card Required","AMD SenseMI Technology, AMD ""Zen"" Core Architecture, AMD Ryzen™ Master Utility, Virtualization, Enmotus FuzeDrive™ for AMD Ryzen™, AES, AVX, FMA3, XFR (Extended Frequency Range)",
,on,"AMD Ryzen™ 5 PRO 5650G","AMD Ryzen™ PRO Processors","AMD Ryzen™ 5 PRO 5000 Series Desktop Processors",Desktop,100-000000255,,,6/1/2021,6,12,7,3.9GHz,"Up to 4.4GHz",,,3MB,16MB,No,"TSMC 7nm FinFET",AM4,,"PCIe® 3.0",,,65W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,2,,"1900 MHz",,"Radeon™  Graphics","AMD PRO technologies",
,on,"AMD Ryzen™ 5 PRO 5650GE","AMD Ryzen™ PRO Processors","AMD Ryzen™ 5 PRO 5000 Series Desktop Processors",Desktop,100-000000258,,,6/1/2021,6,12,7,3.4GHz,"Up to 4.4GHz",,,3MB,16MB,No,"TSMC 7nm FinFET",AM4,,"PCIe® 3.0",,,35W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,2,,"1900 MHz",,"Radeon™  Graphics","AMD PRO technologies",
,on,"AMD Ryzen™ 5 PRO 6650U","AMD Ryzen™ PRO Processors","AMD Ryzen™ 5 PRO 6000 Series Mobile Processors",Laptop,"""FP7:100-000000539 FP7r2:100-000000551",,,,6,12,6,2.9GHz,"Up to 4.5GHz",,384KB,3MB,16MB,No,"TSMC 6nm FinFET",,,"PCIe® 4.0",,,,15W-28W,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR5,4,,"1900 MHz",,"AMD Radeon™ 660M",,
,on,"AMD Ryzen™ 7 1700X","AMD Ryzen™ Processors","AMD Ryzen™ 7 Desktop Processors","Boxed Processor",YD170XBCM88AE,YD170XBCAEWOF,YD170XBCAEMPK,3/2/2017,8,16,,3.4GHz,"Up to 3.8GHz",,768KB,4MB,16MB,Yes,14nm,AM4,,"PCIe 3.0 x16","Not included","Wraith Max",95W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2667MHz",DDR4,2,,,,"Discrete Graphics Card Required","AMD SenseMI Technology, AMD ""Zen"" Core Architecture, AMD Ryzen™ Master Utility, Virtualization, Enmotus FuzeDrive™ for AMD Ryzen™, AES, AVX, FMA3, XFR (Extended Frequency Range)",
,on,"AMD Ryzen™ 9 PRO 3900","AMD Ryzen™ PRO Processors","AMD Ryzen™ 9 PRO Desktop Processors",Desktop,100-000000072,,,9/30/19,12,24,,3.1GHz,"Up to 4.3GHz",,768KB,6MB,64MB,No,"TSMC 7nm FinFET",AM4,1P,"PCIe 4.0",,,65W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,2,,,,"Discrete Graphics Card Required","AMD Memory Guard, AMD GuardMI Technology, DASH 1.2",
,on,"AMD Ryzen™ 7 PRO 3700","AMD Ryzen™ PRO Processors","AMD Ryzen™ 7 PRO Desktop Processors",Desktop,100-000000073,,,9/30/19,8,16,,3.6GHz,"Up to 4.4GHz",,512KB,4MB,32MB,No,"TSMC 7nm FinFET",AM4,1P,"PCIe 4.0",,,65W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,2,,,,"Discrete Graphics Card Required","AMD Memory Guard, AMD GuardMI Technology, DASH 1.2",
,on,"AMD Ryzen™ 7 1700 Processor","AMD Ryzen™ Processors","AMD Ryzen™ 7 Desktop Processors","Boxed Processor",YD1700BBM88AE,YD1700BBAEBOX,YD1700BBAEMPK,3/2/2017,8,16,,3.0GHz,"Up to 3.7GHz",,768KB,4MB,16MB,Yes,14nm,AM4,,"PCIe 3.0 x16","Wraith Spire (LED)","Wraith Spire",65W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2667MHz",DDR4,2,,,,"Discrete Graphics Card Required","AMD GuardMI Technology, AMD SenseMI Technology, AMD ""Zen"" Core Architecture, AMD Ryzen™ Master Utility, Virtualization, Enmotus FuzeDrive™ for AMD Ryzen™, DASH 1.2, AES, AVX, FMA3, XFR (Extended Frequency Range)",
,on,"AMD Ryzen™ 7 PRO 5875U","AMD Ryzen™ PRO Processors","AMD Ryzen™ 7 PRO 5000 Series Mobile Processors",Laptop,100-000000581,,,,8,16,8,2.0GHz,"Up to 4.5GHz",,512KB,4MB,16MB,No,"TSMC 7nm FinFET",FP6,,"PCIe® 3.0",,,15W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR4,2,,"2000 MHz",,"AMD Radeon™ Graphics",,
,on,"AMD Ryzen™ 7 PRO 5850U","AMD Ryzen™ PRO Processors","AMD Ryzen™ 7 PRO 5000 Series Mobile Processors",Laptop,100-000000289,,,03/16/2021,8,16,8,1.9GHz,"Up to 4.4GHz",,,4MB,16MB,No,"TSMC 7nm FinFET",FP6,,"PCIe® 3.0",,,15W,,105°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",3200MHz/4266MHz,"DDR4, LPDDR4",,,"2000 MHz",,"AMD Radeon™ Graphics",,
,on,"AMD Ryzen™ 5 PRO 5675U","AMD Ryzen™ PRO Processors","AMD Ryzen™ 5 PRO 5000 Series Mobile Processors",Laptop,100-000000584,,,,6,12,7,2.3GHz,"Up to 4.3GHz",,384KB,3MB,16MB,No,"TSMC 7nm FinFET",FP6,,"PCIe® 3.0",,,15W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR4,2,,"1800 MHz",,"AMD Radeon™ Graphics",,
,on,"AMD Ryzen™ 5 PRO 5650U","AMD Ryzen™ PRO Processors","AMD Ryzen™ 5 PRO 5000 Series Mobile Processors",Laptop,100-000000290,,,03/16/2021,6,12,7,2.3GHz,"Up to 4.2GHz",,,3MB,16MB,No,"TSMC 7nm FinFET",FP6,,"PCIe® 3.0",,,15W,,105°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",3200MHz/4266MHz,"DDR4, LPDDR4",,,"1800 MHz",,"AMD Radeon™ Graphics",,
,on,"AMD Ryzen™ 3 PRO 5475U","AMD Ryzen™ PRO Processors","AMD Ryzen™ 3 PRO 5000 Series Mobile Processors",Laptop,100-000000587,,,,4,8,6,2.7GHz,"Up to 4.1GHz",,256KB,2MB,8MB,No,"TSMC 7nm FinFET",FP6,,"PCIe® 3.0",,,15W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR4,2,,"1600 MHz",,"AMD Radeon™ Graphics",,
,on,"AMD Ryzen™ 7 PRO 5750G","AMD Ryzen™ PRO Processors","AMD Ryzen™ 7 PRO 5000 Series Desktop Processors",Desktop,100-000000254,,,6/1/2021,8,16,8,3.8GHz,"Up to 4.6GHz",,,4MB,16MB,No,"TSMC 7nm FinFET",AM4,,"PCIe® 3.0",,,65W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,2,,"2000 MHz",,"Radeon™  Graphics","AMD PRO technologies",
,on,"AMD Ryzen™ 3 PRO 5450U","AMD Ryzen™ PRO Processors","AMD Ryzen™ 3 PRO 5000 Series Mobile Processors",Laptop,100-000000291,,,03/16/2021,4,8,6,2.6GHz,"Up to 4.0GHz",,,2MB,8MB,No,"TSMC 7nm FinFET",FP6,,"PCIe® 3.0",,,15W,,105°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",3200MHz/4266MHz,"DDR4, LPDDR4",,,"1600 MHz",,"AMD Radeon™ Graphics",,
,on,"AMD Ryzen™ 7 PRO 5750GE","AMD Ryzen™ PRO Processors","AMD Ryzen™ 7 PRO 5000 Series Desktop Processors",Desktop,100-000000257,,,6/1/2021,8,16,8,3.2GHz,"Up to 4.6GHz",,,4MB,16MB,No,"TSMC 7nm FinFET",AM4,,"PCIe® 3.0",,,35W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,2,,"2000 MHz",,"Radeon™  Graphics","AMD PRO technologies",
,on,"AMD Ryzen™ 3 PRO 5350G","AMD Ryzen™ PRO Processors","AMD Ryzen™ 3 PRO 5000 Series Desktop Processors",Desktop,100-000000256,,,6/1/2021,4,8,6,4.0GHz,"Up to 4.2GHz",,,2MB,8MB,No,"TSMC 7nm FinFET",AM4,,"PCIe® 3.0",,,65W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,2,,"1700 MHz",,"Radeon™  Graphics","AMD PRO technologies",
,on,"AMD Ryzen™ 7 PRO 4750G","AMD Ryzen™ PRO Processors","AMD Ryzen™ 7 PRO 4000 Series Desktop Processors",Desktop,100-000000145,,,7/21/2020,8,16,8,3.6GHz,"Up to 4.4GHz",,512KB,4MB,8MB,No,"TSMC 7nm FinFET",AM4,,"PCIe® 3.0",,"Wraith Stealth",65W,45-65W,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,2,,"2100 MHz",,"Radeon™ Graphics","AMD PRO technologies",
,on,"AMD Ryzen™ 5 PRO 3600","AMD Ryzen™ PRO Processors","AMD Ryzen™ 5 PRO Desktop Processors",Desktop,100-000000029,,,9/30/19,6,12,,3.6GHz,"Up to 4.2GHz",,384KB,3MB,32MB,No,"TSMC 7nm FinFET",AM4,1P,"PCIe 4.0",,,65W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,2,,,,"Discrete Graphics Card Required","AMD Memory Guard, AMD GuardMI Technology, DASH 1.2",
,on,"AMD Ryzen™ 5 1600X","AMD Ryzen™ Processors","AMD Ryzen™ 5 Desktop Processors","Boxed Processor",YD160XBCM6IAE,YD160XBCAEWOF,YD160XBCAEMPK,4/11/2017,6,12,,3.6GHz,"Up to 4.0GHz",,576KB,3MB,16MB,Yes,14nm,AM4,,"PCIe 3.0 x16","Not included","Wraith Max",95W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2667MHz",DDR4,2,,,,"Discrete Graphics Card Required","AMD SenseMI Technology, AMD ""Zen"" Core Architecture, AMD Ryzen™ Master Utility, Virtualization, Enmotus FuzeDrive™ for AMD Ryzen™, AES, AVX2, FMA3, XFR (Extended Frequency Range)",
,on,"AMD Ryzen™ 3 PRO 5350GE","AMD Ryzen™ PRO Processors","AMD Ryzen™ 3 PRO 5000 Series Desktop Processors",Desktop,100-000000259,,,6/1/2021,4,8,6,3.6GHz,"Up to 4.2GHz",,,2MB,8MB,No,"TSMC 7nm FinFET",AM4,,"PCIe® 3.0",,,35W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,2,,"1700 MHz",,"Radeon™  Graphics","AMD PRO technologies",
